#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
221 80.888889 152.898256 472 7.944767 22 8130 19 521 1456 71.209499 228.912531 304 673.272151 22 12 209.439704 112.585277 1 17 57 17.224576 13.499231
222 80.888889 150.235700 491 7.944767 25 8762 20 507 1456 69.020065 228.912531 299 673.272151 25 12 203.000192 110.442343 1 17 57 17.845214 12.998687
223 79.388889 150.052265 520 7.825707 22 9456 19 504 1429 68.551899 224.132811 309 622.591142 22 12 190.421943 108.358990 1 17 56 18.184615 13.129113
224 80.555556 154.378763 536 7.944767 19 8921 19 518 1450 70.739695 227.849499 303 712.029685 19 12 221.061546 119.166069 1 17 56 16.643657 12.444874
225 82.333333 154.471500 507 8.183633 26 9424 20 521 1482 71.209499 233.524692 310 648.679700 26 12 197.804165 108.765222 2 17 58 18.587771 12.659619
226 84.388889 155.375223 458 8.423475 24 8892 21 524 1519 71.679650 240.103843 300 631.852218 24 12 188.630657 99.199956 2 17 60 19.414847 12.152702
227 83.944444 155.368906 497 8.303433 24 9907 19 523 1511 71.522895 238.679781 302 628.104687 24 12 188.218144 99.966727 2 17 59 19.933602 12.343410
228 82.277778 152.756453 510 8.183633 19 9182 17 514 1481 70.113829 233.347132 297 648.186477 19 12 194.760636 103.498401 2 17 58 18.003922 11.686090
229 80.833333 152.600513 488 7.944767 22 8920 9 512 1455 69.801129 228.735325 302 635.375903 22 12 193.892026 105.520434 1 17 57 18.278689 12.697949
230 81.833333 156.547561 300 8.064076 16 5428 6 524 1473 71.679650 231.927134 301 644.242040 16 12 199.110138 105.115657 2 17 57 18.093333 13.646414
231 80.777778 156.016935 429 7.944767 21 6471 7 523 1454 71.522895 228.558132 297 761.860441 21 12 238.409649 124.198081 1 17 57 15.083916 12.316246
232 77.444444 149.340856 564 7.588351 21 8278 13 500 1394 67.928234 217.952092 297 778.400329 21 12 242.600837 133.069373 1 16 54 14.677305 11.778637
233 78.277778 149.416199 484 7.706901 23 8007 16 501 1409 68.084091 220.598845 298 689.371391 23 12 212.762784 116.890240 1 17 55 16.543388 13.491357
234 78.222222 149.933895 505 7.706901 26 8033 17 503 1408 68.395923 220.422295 301 734.740984 26 12 227.986411 126.138789 1 17 55 15.906931 13.520987
235 77.333333 150.764349 444 7.588351 22 5969 17 505 1392 68.707915 217.599435 296 836.920904 22 12 264.261212 142.746304 1 17 54 13.443694 12.624657
236 77.166667 150.980223 544 7.588351 22 7928 16 505 1389 68.707915 217.070557 301 775.251989 22 12 245.385411 135.148702 1 17 54 14.573529 12.472106
237 78.333333 150.098856 452 7.706901 22 7720 12 504 1410 68.551899 220.775409 292 649.339439 22 12 201.623233 107.450518 1 17 55 17.079646 13.172371
238 78.333333 147.102005 503 7.706901 25 8556 15 494 1410 66.993938 220.775409 298 649.339439 25 12 197.040995 110.014344 1 16 55 17.009940 12.987297
239 78.055556 148.075984 521 7.706901 24 8937 15 497 1405 67.460905 219.892731 296 646.743325 24 12 198.414427 109.158938 1 16 54 17.153551 13.129337
